sk_vuln,vuln_id,cve_id,system,vendor,vulnerability_type,cvss_score,cvss_severity,estado_parche,prioridad_remediacion,dias_desde_descubrimiento,affected_hosts,exploited_in_wild
31,31,CVE-2023-33796,OpenSSL 1.1,PostgreSQL Global Dev Group,Authentication Bypass,4.2,Medium,Disponible,Media,557,18,True
32,32,CVE-2022-34031,Apache 2.4,Nginx Inc,Buffer Overflow,5.4,Medium,Aplicado,Media,601,5,False
33,33,CVE-2023-69477,Python 3.8,PostgreSQL Global Dev Group,Privilege Escalation,2.1,Low,Disponible,Baja,560,11,False
34,34,CVE-2023-33743,nginx 1.18,Nginx Inc,Denial Of Service,3.6,Low,Disponible,Baja,637,18,False
35,35,CVE-2023-42826,Apache 2.4,Python Software Foundation,Denial Of Service,2.3,Low,Aplicado,Baja,686,43,False
36,36,CVE-2022-61522,nginx 1.18,OpenSSL Project,Remote Code Execution,9.8,Critical,Disponible,Urgente,544,26,False
37,37,CVE-2023-27015,Django 3.2,Nginx Inc,Information Disclosure,2.1,Low,Disponible,Baja,571,33,False
38,38,CVE-2022-41747,Apache 2.4,PostgreSQL Global Dev Group,Remote Code Execution,7.5,High,Disponible,Alta,894,22,False
39,39,CVE-2023-14515,nginx 1.18,OpenSSL Project,Privilege Escalation,9.7,Critical,Disponible,Urgente,718,18,False
40,40,CVE-2023-76156,Apache 2.4,Nginx Inc,Buffer Overflow,8.2,High,Aplicado,Alta,720,20,False
41,41,CVE-2023-86753,Node.js 14,OpenSSL Project,Authentication Bypass,9.7,Critical,Sin parche,Urgente,833,3,False
42,42,CVE-2022-76262,Python 3.8,Python Software Foundation,Denial Of Service,3.1,Low,Aplicado,Baja,871,9,False
43,43,CVE-2023-59364,Python 3.8,Apache Foundation,Authentication Bypass,8.7,High,Aplicado,Inmediata,681,30,True
44,44,CVE-2022-75925,Apache 2.4,Python Software Foundation,Buffer Overflow,9.2,Critical,Sin parche,Urgente,844,16,False
45,45,CVE-2023-95187,PostgreSQL 13,PostgreSQL Global Dev Group,Buffer Overflow,9.8,Critical,Sin parche,Urgente,883,5,False
46,46,CVE-2024-43284,Django 3.2,Nginx Inc,Denial Of Service,7.2,High,Disponible,Inmediata,887,44,True
47,47,CVE-2022-38533,nginx 1.18,Python Software Foundation,Privilege Escalation,7.4,High,Aplicado,Alta,652,6,False
48,48,CVE-2023-47956,Node.js 14,Python Software Foundation,Information Disclosure,5.7,Medium,Aplicado,Media,853,10,False
49,49,CVE-2024-27380,Django 3.2,Python Software Foundation,Privilege Escalation,6.8,Medium,Aplicado,Media,674,2,False
50,50,CVE-2023-74447,PostgreSQL 13,Nginx Inc,Authentication Bypass,7.5,High,Disponible,Alta,747,1,False
51,51,CVE-2024-62200,OpenSSL 1.1,Apache Foundation,Authentication Bypass,3.0,Low,Disponible,Baja,859,38,True
52,52,CVE-2024-66105,Node.js 14,Apache Foundation,Privilege Escalation,8.0,High,Disponible,Alta,588,16,False
53,53,CVE-2024-76972,Node.js 14,Nginx Inc,Information Disclosure,4.5,Medium,Disponible,Media,641,47,True
54,54,CVE-2023-63855,Node.js 14,OpenSSL Project,Authentication Bypass,5.6,Medium,Aplicado,Media,827,22,False
55,55,CVE-2024-43520,Django 3.2,Nginx Inc,Information Disclosure,7.9,High,Disponible,Alta,866,5,False
56,56,CVE-2022-75152,PostgreSQL 13,Nginx Inc,Information Disclosure,6.4,Medium,Sin parche,Media,804,12,False
57,57,CVE-2022-21939,nginx 1.18,Nginx Inc,Denial Of Service,4.6,Medium,Disponible,Media,707,25,False
58,58,CVE-2024-18134,Python 3.8,Nginx Inc,Remote Code Execution,6.0,Medium,Disponible,Media,799,42,False
59,59,CVE-2024-50896,Node.js 14,Apache Foundation,Remote Code Execution,8.8,High,Disponible,Alta,613,5,False
60,60,CVE-2022-71361,OpenSSL 1.1,Apache Foundation,Remote Code Execution,9.8,Critical,Disponible,Inmediata,594,6,True
61,61,CVE-2023-26469,Apache 2.4,Nginx Inc,Remote Code Execution,3.9,Low,Disponible,Baja,543,7,True
62,62,CVE-2024-78738,OpenSSL 1.1,PostgreSQL Global Dev Group,Privilege Escalation,9.5,Critical,Aplicado,Urgente,885,30,False
63,63,CVE-2024-94485,OpenSSL 1.1,PostgreSQL Global Dev Group,Denial Of Service,8.7,High,Aplicado,Inmediata,698,4,True
64,64,CVE-2023-75314,Django 3.2,PostgreSQL Global Dev Group,Buffer Overflow,9.1,Critical,Disponible,Inmediata,709,32,True
65,65,CVE-2022-54309,nginx 1.18,PostgreSQL Global Dev Group,Remote Code Execution,7.7,High,Aplicado,Alta,796,20,False
66,66,CVE-2023-70963,Node.js 14,Nginx Inc,Buffer Overflow,3.8,Low,Aplicado,Baja,676,39,False
67,67,CVE-2024-17124,Python 3.8,OpenSSL Project,Information Disclosure,3.7,Low,Aplicado,Baja,706,47,True
68,68,CVE-2023-31709,OpenSSL 1.1,Python Software Foundation,Authentication Bypass,4.6,Medium,Sin parche,Media,574,24,False
69,69,CVE-2024-32185,Apache 2.4,Nginx Inc,Buffer Overflow,2.9,Low,Aplicado,Baja,634,25,False
70,70,CVE-2024-66681,Django 3.2,PostgreSQL Global Dev Group,Remote Code Execution,2.7,Low,Disponible,Baja,801,48,False
71,71,CVE-2023-92793,Node.js 14,PostgreSQL Global Dev Group,Buffer Overflow,5.3,Medium,Sin parche,Media,846,17,False
72,72,CVE-2022-18238,nginx 1.18,Nginx Inc,Privilege Escalation,9.2,Critical,Aplicado,Urgente,758,18,False
73,73,CVE-2023-88062,Django 3.2,Apache Foundation,Buffer Overflow,9.3,Critical,Disponible,Urgente,553,17,False
74,74,CVE-2024-27394,OpenSSL 1.1,Apache Foundation,Authentication Bypass,9.4,Critical,Aplicado,Urgente,621,21,False
75,75,CVE-2024-88081,OpenSSL 1.1,PostgreSQL Global Dev Group,Remote Code Execution,2.6,Low,Aplicado,Baja,672,11,False
76,76,CVE-2023-19458,Apache 2.4,OpenSSL Project,Buffer Overflow,4.1,Medium,Sin parche,Media,835,27,False
77,77,CVE-2022-98356,Python 3.8,Apache Foundation,Privilege Escalation,3.9,Low,Disponible,Baja,770,48,False
78,78,CVE-2023-67592,OpenSSL 1.1,OpenSSL Project,Remote Code Execution,4.0,Medium,Aplicado,Media,748,17,False
79,79,CVE-2022-78984,Node.js 14,Apache Foundation,Authentication Bypass,3.9,Low,Aplicado,Baja,887,29,False
80,80,CVE-2023-48492,Apache 2.4,OpenSSL Project,Denial Of Service,3.9,Low,Disponible,Baja,631,29,False
